,msla,msla (orig),trend,msla (detrend)
1980-01-31,,,-0.7646681653411815,
1980-02-29,,,-0.7607028937793019,
1980-03-31,-0.8666666666666689,1.4,-0.7567376222174222,-0.10992904444924667
1980-04-30,-8.725000000000001,-5.8,-0.752772350655543,-7.972227649344458
1980-05-31,-9.808333333333335,-5.6,-0.7488070790936634,-9.059526254239671
1980-06-30,-3.391666666666666,-1.2,-0.7448418075317838,-2.6468248591348824
1980-07-31,-1.7083333333333335,1.5,-0.7408765359699045,-0.9674567973634289
1980-08-31,-8.891666666666666,-5.2,-0.7369112644080249,-8.15475540225864
1980-09-30,-2.8750000000000004,-1.1,-0.7329459928461457,-2.1420540071538547
1980-10-31,-5.9750000000000005,-3.4,-0.728980721284266,-5.2460192787157345
1980-11-30,-0.9833333333333334,1.0,-0.7250154497223864,-0.258317883610947
1980-12-31,-4.2,-1.7,-0.7210501781605072,-3.478949821839493
1981-01-31,-7.7250000000000005,-4.6,-0.7170849065986276,-7.0079150934013725
1981-02-28,,,-0.7131196350367479,
1981-03-31,-5.366666666666669,-3.1,-0.7091543634748687,-4.6575123031918
1981-04-30,-3.5250000000000012,-0.6,-0.7051890919129891,-2.819810908087012
1981-05-31,-8.708333333333336,-4.5,-0.7012238203511094,-8.007109512982225
1981-06-30,0.40833333333333366,2.6,-0.6972585487892302,1.1055918821225639
1981-07-31,-5.608333333333333,-2.4,-0.6932932772273506,-4.915040056105983
1981-08-31,0.7083333333333334,4.4,-0.6893280056654714,1.3976613389988048
1981-09-30,-5.575000000000001,-3.8,-0.6853627341035917,-4.889637265896409
1981-10-31,-7.875000000000001,-5.3,-0.6813974625417121,-7.193602537458289
1981-11-30,-3.0833333333333335,-1.1,-0.6774321909798329,-2.4059011423535006
1981-12-31,-5.6000000000000005,-3.1,-0.6734669194179532,-4.926533080582047
1982-01-31,-3.8250000000000006,-0.7,-0.6695016478560736,-3.155498352143927
1982-02-28,-4.258333333333332,-1.6,-0.6655363762941944,-3.5927969570391376
1982-03-31,-6.166666666666669,-3.9,-0.6615711047323147,-5.505095561934354
1982-04-30,1.174999999999998,4.1,-0.6576058331704351,1.8326058331704331
1982-05-31,-7.408333333333335,-3.2,-0.6536405616085559,-6.754692771724779
1982-06-30,-5.991666666666666,-3.8,-0.6496752900466762,-5.3419913766199905
1982-07-31,-6.508333333333333,-3.3,-0.645710018484797,-5.862623314848536
1982-08-31,,,-0.6417447469229174,
1982-09-30,-6.475000000000001,-4.7,-0.6377794753610377,-5.837220524638964
1982-10-31,3.025,5.6,-0.6338142037991585,3.6588142037991584
1982-11-30,-8.183333333333334,-6.2,-0.6298489322372789,-7.553484401096055
1982-12-31,-9.2,-6.7,-0.6258836606753992,-8.5741163393246
1983-01-31,-11.225000000000001,-8.1,-0.62191838911352,-10.60308161088648
1983-02-28,-13.758333333333333,-11.1,-0.6179531175516404,-13.140380215781693
1983-03-31,-12.56666666666667,-10.3,-0.6139878459897612,-11.952678820676908
1983-04-30,-6.325000000000001,-3.4,-0.6100225744278815,-5.714977425572119
1983-05-31,-6.608333333333335,-2.4,-0.6060573028660019,-6.002276030467334
1983-06-30,-6.291666666666666,-4.1,-0.6020920313041227,-5.689574635362543
1983-07-31,-10.708333333333334,-7.5,-0.598126759742243,-10.11020657359109
1983-08-31,-11.391666666666666,-7.7,-0.5941614881803634,-10.797505178486302
1983-09-30,-4.075000000000001,-2.3,-0.5901962166184842,-3.484803783381517
1983-10-31,-6.875,-4.3,-0.5862309450566046,-6.288769054943396
