,msla,msla (orig),trend,msla (detrend)
1975-01-31,,,-19.386682796937478,
1975-02-28,,,-19.331256067011594,
1975-03-31,,,-19.27582933708571,
1975-04-30,-3.5916666666666686,0.7,-19.22040260715982,15.62873594049315
1975-05-31,-4.408333333333331,0.8,-19.164975877233935,14.756642543900604
1975-06-30,-3.8916666666666657,1.1,-19.10954914730805,15.217882480641386
1975-07-31,-6.666666666666671,-1.7,-19.05412241738216,12.387455750715489
1975-08-31,-1.625,2.7,-18.998695687456276,17.373695687456276
1975-09-30,,,-18.943268957530393,
1975-10-31,6.98333333333332,10.5,-18.88784222760451,25.87117556093783
1975-11-30,6.158333333333317,12.0,-18.832415497678618,24.990748831011935
1975-12-31,3.7416666666666742,9.8,-18.776988767752734,22.518655434419408
1976-01-31,-0.15833333333333144,7.9,-18.72156203782685,18.56322870449352
1976-02-29,-3.125,2.0,-18.66613530790096,15.541135307900959
1976-03-31,-9.983333333333334,-5.6,-18.610708577975075,8.62737524464174
1976-04-30,-11.391666666666666,-7.1,-18.55528184804919,7.163615181382525
1976-05-31,-18.50833333333334,-13.3,-18.4998551181233,-0.008478215210040219
1976-06-30,-15.591666666666669,-10.6,-18.444428388197416,2.8527617215307473
1976-07-31,-17.666666666666664,-12.7,-18.389001658271532,0.7223349916048676
1976-08-31,-16.725,-12.4,-18.33357492834564,1.6085749283456394
1976-09-30,-20.799999999999997,-16.9,-18.278148198419757,-2.5218518015802402
1976-10-31,-22.716666666666676,-19.2,-18.222721468493873,-4.493945198172803
1976-11-30,-25.241666666666674,-19.4,-18.167294738567982,-7.074371928098692
1976-12-31,-20.15833333333333,-14.1,-18.111868008642098,-2.0464653246912334
1977-01-31,-21.258333333333333,-13.2,-18.056441278716214,-3.201892054617119
1977-02-28,-9.025000000000006,-3.9,-18.001014548790323,8.976014548790317
1977-03-31,-2.9833333333333343,1.4,-17.94558781886444,14.962254485531105
1977-04-30,-5.091666666666669,-0.8,-17.890161088938555,12.798494422271887
1977-05-31,-8.608333333333334,-3.4,-17.834734359012664,9.22640102567933
1977-06-30,-2.8916666666666657,2.1,-17.77930762908678,14.887640962420114
1977-07-31,-3.7666666666666657,1.2,-17.723880899160896,13.95721423249423
1977-08-31,-5.625,-1.3,-17.668454169235005,12.043454169235005
1977-09-30,-10.399999999999991,-6.5,-17.61302743930912,7.21302743930913
1977-10-31,-11.116666666666674,-7.6,-17.557600709383237,6.440934042716563
1977-11-30,-13.741666666666674,-7.9,-17.502173979457346,3.760507312790672
1977-12-31,-11.158333333333331,-5.1,-17.446747249531462,6.288413916198131
1978-01-31,-19.958333333333336,-11.9,-17.39132051960558,-2.5670128137277572
1978-02-28,-15.225000000000009,-10.1,-17.335893789679687,2.110893789679679
1978-03-31,-8.483333333333334,-4.1,-17.280467059753803,8.79713372642047
1978-04-30,-4.691666666666663,-0.4,-17.22504032982792,12.533373663161257
1978-05-31,-2.9083333333333314,2.3,-17.16961359990203,14.261280266568697
1978-06-30,-6.191666666666663,-1.2,-17.114186869976145,10.922520203309482
1978-07-31,-4.566666666666663,0.4,-17.05876014005026,12.492093473383598
1978-08-31,-1.8250000000000028,2.5,-17.00333341012437,15.178333410124367
1978-09-30,0.10000000000000853,4.0,-16.947906680198486,17.047906680198494
1978-10-31,3.683333333333323,7.2,-16.8924799502726,20.575813283605925
1978-11-30,1.058333333333323,6.9,-16.83705322034671,17.895386553680034
1978-12-31,-3.9583333333333286,2.1,-16.781626490420827,12.823293157087498
1979-01-31,-10.75833333333334,-2.7,-16.726199760494943,5.967866427161603
1979-02-28,-15.225000000000009,-10.1,-16.670773030569052,1.4457730305690433
1979-03-31,-8.583333333333343,-4.2,-16.615346300643168,8.032012967309825
1979-04-30,,,-16.559919570717284,
