,msla,msla (orig),trend,msla (detrend)
1980-01-31,-0.39090909090910486,0.1,-4.919940459517171,4.5290313686080665
1980-02-29,,,-4.902593808943031,
1980-03-31,,,-4.8852471583688875,
1980-04-30,,,-4.867900507794747,
1980-05-31,,,-4.850553857220607,
1980-06-30,,,-4.833207206646467,
1980-07-31,,,-4.815860556072327,
1980-08-31,,,-4.798513905498183,
1980-09-30,-0.6666666666666572,0.7,-4.781167254924043,4.1145005882573855
1980-10-31,-4.136363636363626,-1.6,-4.7638206043499025,0.6274569679862765
1980-11-30,-0.2181818181818187,1.1,-4.746473953775762,4.528292135593944
1980-12-31,-0.1909090909090878,1.0,-4.729127303201622,4.538218212292534
1981-01-31,-0.19090909090911623,0.3,-4.711780652627478,4.520871561718362
1981-02-28,7.7900000000000205,9.4,-4.694434002053338,12.484434002053359
1981-03-31,,,-4.677087351479198,
1981-04-30,,,-4.659740700905058,
1981-05-31,,,-4.642394050330918,
1981-06-30,,,-4.625047399756777,
1981-07-31,,,-4.607700749182634,
1981-08-31,-6.98181818181817,-4.3,-4.590354098608493,-2.3914640832096765
1981-09-30,-5.466666666666669,-4.1,-4.573007448034353,-0.8936592186323153
1981-10-31,-6.336363636363615,-3.8,-4.555660797460213,-1.7807028389034016
1981-11-30,-8.618181818181824,-7.3,-4.538314146886073,-4.079867671295752
1981-12-31,-3.5909090909090935,-2.4,-4.520967496311929,0.9300584054028356
1982-01-31,-4.190909090909116,-3.7,-4.503620845737789,0.31271175482867264
1982-02-28,3.490000000000009,5.1,-4.486274195163649,7.976274195163658
1982-03-31,4.316666666666663,5.7,-4.4689275445895085,8.785594211256171
1982-04-30,6.816666666666663,8.7,-4.451580894015368,11.268247560682031
1982-05-31,4.766666666666708,6.7,-4.434234243441228,9.200900910107936
1982-06-30,3.530000000000001,6.1,-4.416887592867084,7.9468875928670855
1982-07-31,6.710000000000008,8.9,-4.399540942292944,11.109540942292952
1982-08-31,5.818181818181813,8.5,-4.382194291718804,10.200376109900617
1982-09-30,4.23333333333332,5.6,-4.364847641144664,8.598180974477984
1982-10-31,1.7636363636363797,4.3,-4.3475009905705235,6.111137354206903
1982-11-30,0.18181818181818699,1.5,-4.33015433999638,4.511972521814567
1982-12-31,-18.99090909090907,-17.8,-4.31280768942224,-14.678101401486831
1983-01-31,-22.690909090909116,-22.2,-4.295461038848099,-18.395448052061017
1983-02-28,-25.00999999999999,-23.4,-4.278114388273959,-20.73188561172603
1983-03-31,-26.48333333333335,-25.1,-4.260767737699819,-22.22256559563353
1983-04-30,-25.48333333333335,-23.6,-4.243421087125679,-21.23991224620767
1983-05-31,-20.73333333333329,-18.8,-4.226074436551535,-16.507258896781757
1983-06-30,-16.069999999999993,-13.5,-4.208727785977395,-11.861272214022598
1983-07-31,-12.689999999999998,-10.5,-4.191381135403255,-8.498618864596743
1983-08-31,-21.78181818181818,-19.1,-4.174034484829114,-17.607783696989067
1983-09-30,-19.066666666666663,-17.7,-4.156687834254974,-14.909978832411689
1983-10-31,-18.436363636363637,-15.9,-4.1393411836808305,-14.297022452682807
1983-11-30,-17.01818181818183,-15.7,-4.12199453310669,-12.89618728507514
1983-12-31,-10.190909090909088,-9.0,-4.10464788253255,-6.086261208376538
1984-01-31,-10.690909090909116,-10.2,-4.08730123195841,-6.603607858950706
1984-02-29,-16.70999999999998,-15.1,-4.06995458138427,-12.64004541861571
1984-03-31,-14.083333333333343,-12.7,-4.0526079308101295,-10.030725402523213
1984-04-30,-14.283333333333331,-12.4,-4.035261280235986,-10.248072053097346
1984-05-31,-10.233333333333292,-8.3,-4.0179146296618455,-6.215418703671446
1984-06-30,-7.369999999999976,-4.8,-4.000567979087705,-3.369432020912271
1984-07-31,-9.189999999999998,-7.0,-3.983221328513565,-5.206778671486433
1984-08-31,-11.48181818181817,-8.8,-3.965874677939425,-7.515943503878745
1984-09-30,-10.566666666666663,-9.2,-3.948528027365281,-6.618138639301382
1984-10-31,-8.336363636363615,-5.8,-3.931181376791141,-4.405182259572474
1984-11-30,-3.9181818181818073,-2.6,-3.913834726217001,-0.004347091964806538
1984-12-31,-5.5909090909090935,-4.4,-3.8964880756428606,-1.694421015266233
1985-01-31,2.509090909090901,3.0,-3.8791414250687204,6.388232334159621
1985-02-28,-5.309999999999974,-3.7,-3.86179477449458,-1.4482052255053937
1985-03-31,-4.883333333333354,-3.5,-3.8444481239204364,-1.0388852094129177
1985-04-30,-1.2833333333333314,0.6,-3.8271014733462962,2.543768140012965
1985-05-31,-1.4333333333333087,0.5,-3.809754822772156,2.3764214894388473
1985-06-30,-1.8699999999999761,0.7,-3.792408172198016,1.9224081721980397
1985-07-31,1.210000000000008,3.4,-3.7750615216238756,4.985061521623884
1985-08-31,-2.98181818181817,-0.3,-3.757714871049732,0.775896689231562
1985-09-30,-2.566666666666663,-1.2,-3.7403682204755917,1.1737015538089288
1985-10-31,-3.8363636363636147,-1.3,-3.7230215699014515,-0.11334206646216316
1985-11-30,-3.318181818181813,-2.0,-3.7056749193273113,0.3874931011454983
1985-12-31,-0.49090909090907076,0.7,-3.688328268753171,3.1974191778441003
1986-01-31,1.8090909090908838,2.3,-3.670981618179031,5.480072527269915
1986-02-28,2.2900000000000205,3.9,-3.653634967604887,5.943634967604908
1986-03-31,0.01666666666665151,1.4,-3.636288317030747,3.6529549836973985
1986-04-30,0.01666666666665151,1.9,-3.6189416664566068,3.6356083331232583
1986-05-31,5.466666666666697,7.4,-3.6015950158824666,9.068261682549164
1986-06-30,-0.6699999999999875,1.9,-3.5842483653083264,2.914248365308339
1986-07-31,-1.1899999999999977,1.0,-3.5669017147341826,2.376901714734185
1986-08-31,3.51818181818183,6.2,-3.5495550641600424,7.0677368823418725
1986-09-30,7.833333333333343,9.2,-3.532208413585902,11.365541746919245
1986-10-31,1.0636363636363626,3.6,-3.514861763011762,4.578498126648125
1986-11-30,6.581818181818193,7.9,-3.497515112437622,10.079333294255814
1986-12-31,7.9090909090909065,9.1,-3.4801684618634816,11.389259370954388
1987-01-31,-3.2909090909091105,-2.8,-3.462821811289338,0.1719127203802273
1987-02-28,1.6900000000000261,3.3,-3.4454751607151977,5.135475160715224
1987-03-31,-0.3833333333333542,1.0,-3.4281285101410575,3.0447951768077033
1987-04-30,-2.683333333333337,-0.8,-3.4107818595669173,0.7274485262335801
