,msla,msla (orig),trend,msla (detrend)
1969-01-31,,,-37.02044003243783,
1969-02-28,,,-36.93223359140764,
1969-03-31,,,-36.84402715037746,
1969-04-30,,,-36.75582070934726,
1969-05-31,,,-36.66761426831707,
1969-06-30,-17.163636363636385,-11.5,-36.57940782728687,19.415771463650486
1969-07-31,-15.75555555555556,-8.8,-36.49120138625669,20.73564583070113
1969-08-31,-18.77777777777777,-13.1,-36.402994945226496,17.625217167448724
1969-09-30,-18.844444444444434,-14.1,-36.3147885041963,17.470344059751866
1969-10-31,-20.588888888888874,-14.7,-36.226582063166106,15.637693174277231
1969-11-30,-13.0,-7.3,-36.138375622135925,23.138375622135925
1969-12-31,-17.63333333333334,-10.3,-36.05016918110573,18.41683584777239
1970-01-31,-14.679999999999964,-6.7,-35.961962740075535,21.28196274007557
1970-02-28,-8.51818181818183,-3.1,-35.87375629904534,27.35557448086351
1970-03-31,-9.127272727272754,-3.8,-35.78554985801516,26.658277130742405
1970-04-30,-14.263636363636351,-6.3,-35.697343416984964,21.433707053348613
1970-05-31,-1.4799999999999898,6.3,-35.60913697595477,34.12913697595478
1970-06-30,1.4363636363636374,7.1,-35.520930534924574,36.95729417128821
1970-07-31,1.24444444444444,8.2,-35.43272409389439,36.67716853833883
1970-08-31,4.422222222222217,10.1,-35.3445176528642,39.766739875086415
1970-09-30,3.9555555555555486,8.7,-35.256311211834,39.21186676738955
1970-10-31,3.211111111111137,9.1,-35.16810477080381,38.379215881914945
1970-11-30,2.9000000000000057,8.6,-35.07989832977363,37.97989832977363
1970-12-31,,,-34.99169188874343,
1971-01-31,,,-34.90348544771324,
1971-02-28,,,-34.81527900668304,
1971-03-31,,,-34.72707256565285,
1971-04-30,,,-34.638866124622666,
1971-05-31,,,-34.55065968359247,
1971-06-30,,,-34.462453242562276,
1971-07-31,,,-34.37424680153208,
1971-08-31,,,-34.2860403605019,
1971-09-30,,,-34.197833919471705,
1971-10-31,,,-34.10962747844151,
1971-11-30,,,-34.021421037411315,
1971-12-31,,,-33.933214596381134,
1972-01-31,,,-33.84500815535094,
1972-02-29,,,-33.756801714320744,
1972-03-31,,,-33.66859527329055,
1972-04-30,,,-33.58038883226037,
1972-05-31,,,-33.49218239123017,
1972-06-30,,,-33.40397595019998,
1972-07-31,,,-33.31576950916978,
1972-08-31,,,-33.2275630681396,
1972-09-30,,,-33.13935662710941,
1972-10-31,,,-33.05115018607921,
1972-11-30,,,-32.96294374504902,
1972-12-31,,,-32.874737304018836,
1973-01-31,,,-32.78653086298864,
1973-02-28,,,-32.698324421958446,
1973-03-31,,,-32.61011798092825,
1973-04-30,-13.263636363636351,-5.3,-32.52191153989807,19.25827517626172
1973-05-31,-0.47999999999998977,7.3,-32.433705098867875,31.953705098867886
1973-06-30,0.4363636363636374,6.1,-32.34549865783768,32.78186229420132
1973-07-31,4.944444444444457,11.9,-32.257292216807485,37.20173666125194
1973-08-31,6.5222222222222115,12.2,-32.169085775777305,38.691307997999516
1973-09-30,3.4555555555555486,8.2,-32.08087933474711,35.53643489030266
1973-10-31,3.1111111111111427,9.0,-31.992672893716914,35.10378400482806
1973-11-30,11.5,17.2,-31.90446645268672,43.40446645268672
1973-12-31,10.466666666666669,17.8,-31.81626001165654,42.28292667832321
1974-01-31,8.520000000000039,16.5,-31.728053570626344,40.24805357062638
1974-02-28,7.281818181818181,12.7,-31.63984712959615,38.92166531141433
1974-03-31,3.1727272727272577,8.5,-31.551640688565953,34.72436796129321
1974-04-30,-7.46363636363634,0.5,-31.463434247535773,23.999797883899433
1974-05-31,-15.97999999999999,-8.2,-31.375227806505578,15.395227806505588
1974-06-30,-17.863636363636374,-12.2,-31.287021365475383,13.423385001839009
1974-07-31,-13.355555555555554,-6.4,-31.198814924445188,17.843259368889633
1974-08-31,-4.877777777777766,0.8,-31.110608483415007,26.23283070563724
1974-09-30,-2.0444444444444514,2.7,-31.02240204238481,28.97795759794036
1974-10-31,1.01111111111112,6.9,-30.934195601354617,31.945306712465737
1974-11-30,-3.0999999999999943,2.6,-30.84598916032442,27.745989160324427
1974-12-31,-9.433333333333337,-2.1,-30.757782719294227,21.32444938596089
1975-01-31,-6.879999999999967,1.1,-30.669576278264046,23.78957627826408
1975-02-28,-6.218181818181819,-0.8,-30.58136983723385,24.363188019052032
1975-03-31,-6.527272727272731,-1.2,-30.493163396203656,23.965890668930925
1975-04-30,4.53636363636366,12.5,-30.40495695517346,34.94132059153712
1975-05-31,4.4199999999999875,12.2,-30.31675051414328,34.73675051414327
1975-06-30,6.73636363636362,12.4,-30.228544073113085,36.964907709476705
1975-07-31,4.544444444444451,11.5,-30.14033763208289,34.68478207652734
1975-08-31,2.7222222222222285,8.4,-30.052131191052695,32.77435341327492
1975-09-30,4.155555555555566,8.9,-29.963924750022514,34.11948030557808
1975-10-31,3.6111111111111427,9.5,-29.87571830899232,33.48682942010346
1975-11-30,3.0999999999999943,8.8,-29.787511867962124,32.88751186796212
1975-12-31,-1.8333333333333428,5.5,-29.69930542693193,27.865972093598586
1976-01-31,6.420000000000044,14.4,-29.611098985901748,36.03109898590179
1976-02-29,2.2818181818181813,7.7,-29.522892544871553,31.804710726689734
1976-03-31,5.572727272727263,10.9,-29.434686103841358,35.00741337656862
1976-04-30,-8.663636363636357,-0.7,-29.346479662811163,20.682843299174806
1976-05-31,-10.280000000000001,-2.5,-29.258273221780982,18.97827322178098
1976-06-30,-15.963636363636368,-10.3,-29.170066780750787,13.206430417114419
1976-07-31,-30.355555555555554,-23.4,-29.081860339720592,-1.2736952158349624
1976-08-31,-23.77777777777777,-18.1,-28.993653898690397,5.215876120912625
1976-09-30,-29.944444444444443,-25.2,-28.905447457660216,-1.0389969867842268
1976-10-31,-26.18888888888887,-20.3,-28.81724101663002,2.6283521277411523
1976-11-30,-18.700000000000003,-13.0,-28.729034575599826,10.029034575599823
1976-12-31,-16.23333333333335,-8.9,-28.64082813456963,12.407494801236282
1977-01-31,-13.679999999999964,-5.7,-28.55262169353945,14.872621693539486
1977-02-28,-8.418181818181836,-3.0,-28.464415252509255,20.04623343432742
1977-03-31,-10.227272727272748,-4.9,-28.37620881147906,18.148936084206312
1977-04-30,-2.563636363636334,5.4,-28.288002370448865,25.72436600681253
1977-05-31,-0.6800000000000068,7.1,-28.199795929418684,27.519795929418677
1977-06-30,-1.863636363636374,3.8,-28.11158948838849,26.247953124752115
1977-07-31,-1.8555555555555543,5.1,-28.023383047358294,26.16782749180274
1977-08-31,-4.177777777777777,1.5,-27.9351766063281,23.757398828550322
1977-09-30,-3.444444444444457,1.3,-27.84697016529792,24.40252572085346
1977-10-31,-7.98888888888888,-2.1,-27.758763724267723,19.769874835378843
1977-11-30,-12.599999999999994,-6.9,-27.670557283237528,15.070557283237534
1977-12-31,-11.933333333333337,-4.6,-27.582350842207333,15.649017508873996
1978-01-31,-8.279999999999973,-0.3,-27.494144401177152,19.21414440117718
1978-02-28,-5.218181818181819,0.2,-27.405937960146957,22.18775614196514
1978-03-31,-3.9272727272727366,1.4,-27.317731519116762,23.390458791844026
1978-04-30,-4.96363636363634,3.0,-27.229525078086567,22.265888714450227
1978-05-31,-5.0800000000000125,2.7,-27.141318637056372,22.06131863705636
1978-06-30,-8.863636363636374,-3.2,-27.05311219602619,18.189475832389817
1978-07-31,-5.555555555555543,1.4,-26.964905754995996,21.409350199440453
1978-08-31,-0.9777777777777885,4.7,-26.8766993139658,25.898921536188013
1978-09-30,-0.74444444444444,4.0,-26.788492872935606,26.044048428491166
1978-10-31,-7.48888888888888,-1.6,-26.700286431905425,19.211397543016545
1978-11-30,-9.900000000000006,-4.2,-26.61207999087523,16.712079990875225
1978-12-31,-10.333333333333343,-3.0,-26.523873549845035,16.190540216511693
1979-01-31,-7.979999999999961,0.0,-26.43566710881484,18.45566710881488
1979-02-28,-7.118181818181824,-1.7,-26.34746066778466,19.229278849602835
1979-03-31,-2.227272727272748,3.1,-26.259254226754464,24.031981499481716
1979-04-30,-8.863636363636346,-0.9,-26.17104778572427,17.307411422087924
1979-05-31,-7.180000000000007,0.6,-26.082841344694074,18.902841344694068
1979-06-30,-7.963636363636368,-2.3,-25.994634903663894,18.030998540027525
1979-07-31,-10.855555555555554,-3.9,-25.9064284626337,15.050872907078144
1979-08-31,-6.677777777777777,-1.0,-25.818222021603503,19.140444243825726
1979-09-30,-5.844444444444434,-1.1,-25.73001558057331,19.885571136128874
1979-10-31,-11.388888888888857,-5.5,-25.641809139543128,14.25292025065427
1979-11-30,-13.099999999999994,-7.4,-25.553602698512933,12.453602698512938
1979-12-31,-16.833333333333343,-9.5,-25.465396257482737,8.632062924149395
1980-01-31,-18.079999999999956,-10.1,-25.377189816452542,7.297189816452587
1980-02-29,-19.218181818181833,-13.8,-25.28898337542236,6.070801557240529
1980-03-31,-24.927272727272737,-19.6,-25.200776934392167,0.27350420711943
1980-04-30,-8.263636363636351,-0.3,-25.11257049336197,16.84893412972562
1980-05-31,-18.580000000000013,-10.8,-25.024364052331777,6.444364052331764
1980-06-30,-29.76363636363638,-24.1,-24.936157611301596,-4.827478752334784
1980-07-31,-26.855555555555554,-19.9,-24.8479511702714,-2.0076043852841536
1980-08-31,-17.877777777777766,-12.2,-24.759744729241206,6.88196695146344
1980-09-30,-19.04444444444445,-14.3,-24.67153828821101,5.627093843766559
1980-10-31,-16.98888888888888,-11.1,-24.58333184718083,7.59444295829195
1980-11-30,-11.800000000000011,-6.1,-24.495125406150635,12.695125406150623
1980-12-31,-9.233333333333348,-1.9,-24.40691896512044,15.173585631787091
1981-01-31,-13.379999999999967,-5.4,-24.318712524090245,10.938712524090278
1981-02-28,-19.118181818181824,-13.7,-24.230506083060064,5.112324264878239
1981-03-31,-26.727272727272748,-21.4,-24.14229964202987,-2.584973085242879
1981-04-30,-11.163636363636357,-3.2,-24.054093200999674,12.890456837363317
1981-05-31,-8.280000000000001,-0.5,-23.96588675996948,15.685886759969478
1981-06-30,-7.363636363636374,-1.7,-23.877680318939298,16.514043955302924
1981-07-31,-8.555555555555543,-1.6,-23.789473877909103,15.23391832235356
1981-08-31,-2.177777777777777,3.5,-23.701267436878908,21.52348965910113
1981-09-30,4.055555555555543,8.8,-23.613060995848713,27.668616551404256
1981-10-31,-2.6888888888888687,3.2,-23.524854554818532,20.835965665929663
1981-11-30,-4.800000000000011,0.9,-23.436648113788337,18.636648113788326
1981-12-31,-1.7333333333333485,5.6,-23.348441672758142,21.615108339424793
1982-01-31,-0.67999999999995,7.3,-23.260235231727947,22.580235231727997
1982-02-28,-4.218181818181819,1.2,-23.172028790697752,18.953846972515933
1982-03-31,-2.1272727272727536,3.2,-23.08382234966757,20.956549622394817
1982-04-30,-12.863636363636346,-4.9,-22.995615908637376,10.13197954500103
1982-05-31,-4.47999999999999,3.3,-22.90740946760718,18.42740946760719
1982-06-30,-11.463636363636368,-5.8,-22.819203026576986,11.355566662940618
1982-07-31,-25.25555555555556,-18.3,-22.730996585546805,-2.524558970008755
1982-08-31,-24.977777777777774,-19.3,-22.64279014451661,-2.3349876332611643
1982-09-30,-25.34444444444445,-20.6,-22.554583703486415,-2.7898607409580336
1982-10-31,-26.68888888888887,-20.8,-22.46637726245622,-4.222511626432649
1982-11-30,-28.299999999999997,-22.6,-22.37817082142604,-5.921829178573958
1982-12-31,-29.033333333333346,-21.7,-22.289964380395844,-6.743368952937502
1983-01-31,-24.579999999999956,-16.6,-22.20175793936565,-2.3782420606343067
1983-02-28,-21.118181818181824,-15.7,-22.113551498335454,0.9953696801536296
1983-03-31,-21.527272727272745,-16.2,-22.025345057305273,0.49807233003252804
1983-04-30,-15.663636363636357,-7.7,-21.937138616275078,6.273502252638721
1983-05-31,-14.680000000000007,-6.9,-21.848932175244883,7.168932175244876
1983-06-30,-3.0636363636363626,2.6,-21.760725734214688,18.697089370578325
1983-07-31,-9.25555555555556,-2.3,-21.672519293184507,12.416963737628947
1983-08-31,-7.077777777777783,-1.4,-21.584312852154312,14.50653507437653
1983-09-30,-5.24444444444444,-0.5,-21.496106411124117,16.251661966679677
1983-10-31,-7.188888888888869,-1.3,-21.407899970093922,14.219011081205053
1983-11-30,-3.0999999999999943,2.6,-21.31969352906374,18.219693529063747
1983-12-31,-7.833333333333343,-0.5,-21.231487088033546,13.398153754700203
1984-01-31,-3.2799999999999727,4.7,-21.14328064700335,17.86328064700338
1984-02-29,6.881818181818176,12.3,-21.055074205973156,27.93689238779133
1984-03-31,7.272727272727252,12.6,-20.966867764942975,28.239595037670227
1984-04-30,4.936363636363666,12.9,-20.87866132391278,25.815024960276446
