,msla,msla (orig),trend,msla (detrend)
1948-01-31,,,-33.887092583837784,
1948-02-29,,,-33.83732184718892,
1948-03-31,,,-33.78755111054005,
1948-04-30,-4.927272727272737,2.5,-33.737780373891184,28.810507646618447
1948-05-31,-6.263636363636351,3.5,-33.68800963724232,27.424373273605966
1948-06-30,-6.449999999999989,1.8,-33.63823890059345,27.18823890059346
1948-07-31,-12.829999999999998,-5.0,-33.58846816394458,20.758468163944585
1948-08-31,-6.818181818181813,0.5,-33.538697427295716,26.720515609113903
1948-09-30,,,-33.488926690646856,
1948-10-31,-20.266666666666666,-14.3,-33.43915595399799,13.172489287331324
1948-11-30,,,-33.38938521734912,
1948-12-31,,,-33.339614480700256,
1949-01-31,-15.019999999999996,-7.1,-33.28984374405139,18.269843744051393
1949-02-28,-13.174999999999997,-6.1,-33.24007300740252,20.065073007402525
1949-03-31,-13.554545454545462,-6.1,-33.190302270753655,19.635756816208193
1949-04-30,-13.327272727272742,-5.9,-33.14053153410479,19.813258806832046
1949-05-31,-16.063636363636363,-6.3,-33.09076079745592,17.02712443381956
1949-06-30,-12.84999999999998,-4.6,-33.04099006080706,20.19099006080708
1949-07-31,-11.529999999999987,-3.7,-32.991219324158195,21.461219324158208
1949-08-31,-7.018181818181802,0.3,-32.94144858750933,25.923266769327526
1949-09-30,-3.027272727272745,3.2,-32.89167785086046,29.864405123587716
1949-10-31,-4.966666666666669,1.0,-32.841907114211594,27.875240447544925
1949-11-30,-9.518181818181816,-1.9,-32.79213637756273,23.27395455938091
1949-12-31,0.9583333333333144,7.4,-32.74236564091386,33.700698974247175
1950-01-31,2.480000000000004,10.4,-32.69259490426499,35.172594904265
1950-02-28,1.8250000000000028,8.9,-32.642824167616126,34.46782416761613
1950-03-31,1.2454545454545354,8.7,-32.59305343096726,33.838507976421795
1950-04-30,-0.8272727272727423,6.6,-32.54328269431839,31.71600996704565
1950-05-31,-3.0636363636363626,6.7,-32.493511957669526,29.429875594033163
1950-06-30,-8.649999999999991,-0.4,-32.44374122102066,23.793741221020667
1950-07-31,-10.829999999999998,-3.0,-32.39397048437179,21.563970484371794
1950-08-31,-16.5181818181818,-9.2,-32.344199747722925,15.826017929541123
1950-09-30,-14.62727272727274,-8.4,-32.29442901107406,17.66715628380132
1950-10-31,-17.266666666666666,-11.3,-32.24465827442519,14.977991607758526
1950-11-30,-15.218181818181819,-7.6,-32.194887537776324,16.976705719594506
1950-12-31,-15.741666666666688,-9.3,-32.14511680112746,16.40345013446077
1951-01-31,-19.519999999999996,-11.6,-32.09534606447859,12.575346064478595
1951-02-28,-20.474999999999994,-13.4,-32.045575327829724,11.57057532782973
1951-03-31,-14.954545454545467,-7.5,-31.99580459118086,17.041259136635393
1951-04-30,-11.827272727272742,-4.4,-31.946033854531994,20.11876112725925
1951-05-31,-12.463636363636354,-2.7,-31.896263117883127,19.432626754246773
1951-06-30,-12.049999999999983,-3.8,-31.84649238123426,19.796492381234277
1951-07-31,-14.429999999999993,-6.6,-31.796721644585393,17.3667216445854
1951-08-31,-12.018181818181802,-4.7,-31.746950907936526,19.728769089754724
1951-09-30,-10.62727272727274,-4.4,-31.69718017128766,21.06990744401492
1951-10-31,-9.666666666666671,-3.7,-31.647409434638792,21.98074276797212
1951-11-30,-12.61818181818181,-5.0,-31.59763869798993,18.97945687980812
1951-12-31,-13.441666666666691,-7.0,-31.547867961341062,18.10620129467437
1952-01-31,-10.420000000000002,-2.5,-31.498097224692195,21.078097224692193
1952-02-29,-9.274999999999991,-2.2,-31.448326488043328,22.173326488043337
1952-03-31,-7.054545454545462,0.4,-31.39855575139446,24.344010296849
1952-04-30,-9.927272727272737,-2.5,-31.348785014745594,21.421512287472858
1952-05-31,-14.86363636363636,-5.1,-31.299014278096728,16.435377914460368
1952-06-30,-13.149999999999991,-4.9,-31.24924354144786,18.09924354144787
1952-07-31,-14.72999999999999,-6.9,-31.199472804798994,16.469472804799004
1952-08-31,-11.018181818181802,-3.7,-31.14970206815013,20.13152024996833
1952-09-30,-14.92727272727275,-8.7,-31.099931331501264,16.172658604228513
1952-10-31,-8.666666666666671,-2.7,-31.050160594852397,22.383493928185725
1952-11-30,-8.018181818181816,-0.4,-31.00038985820353,22.982208040021714
1952-12-31,-8.541666666666686,-2.1,-30.950619121554663,22.408952454887977
1953-01-31,-8.620000000000005,-0.7,-30.900848384905796,22.28084838490579
1953-02-28,-6.474999999999994,0.6,-30.85107764825693,24.376077648256935
1953-03-31,-6.854545454545459,0.6,-30.801306911608062,23.946761457062603
1953-04-30,-6.827272727272742,0.6,-30.751536174959195,23.924263447686453
1953-05-31,-11.86363636363636,-2.1,-30.701765438310332,18.838129074673972
1953-06-30,-7.749999999999986,0.5,-30.651994701661465,22.90199470166148
1953-07-31,-5.029999999999987,2.8,-30.6022239650126,25.57222396501261
1953-08-31,,,-30.55245322836373,
1953-09-30,-4.227272727272748,2.0,-30.502682491714864,26.275409764442117
1953-10-31,-3.2666666666666657,2.7,-30.452911755065998,27.186245088399332
1953-11-30,1.8818181818181898,9.5,-30.40314101841713,32.28495920023532
1953-12-31,-0.3416666666666828,6.1,-30.353370281768264,30.01170361510158
1954-01-31,-2.019999999999996,5.9,-30.303599545119397,28.2835995451194
1954-02-28,2.2250000000000085,9.3,-30.25382880847053,32.47882880847054
1954-03-31,0.24545454545453538,7.7,-30.204058071821663,30.4495126172762
1954-04-30,1.6727272727272577,9.1,-30.154287335172796,31.827014607900054
1954-05-31,-7.36363636363636,2.4,-30.10451659852393,22.74088023488757
1954-06-30,-8.649999999999991,-0.4,-30.054745861875062,21.40474586187507
1954-07-31,-13.129999999999995,-5.3,-30.004975125226196,16.8749751252262
1954-08-31,-9.818181818181813,-2.5,-29.955204388577336,20.137022570395523
1954-09-30,-12.027272727272745,-5.8,-29.90543365192847,17.878160924655724
1954-10-31,-12.366666666666674,-6.4,-29.855662915279602,17.488996248612928
1954-11-30,-11.818181818181813,-4.2,-29.805892178630735,17.987710360448922
1954-12-31,-11.741666666666688,-5.3,-29.75612144198187,18.01445477531518
1955-01-31,-15.819999999999993,-7.9,-29.706350705333,13.886350705333008
1955-02-28,-7.074999999999989,0.0,-29.656579968684134,22.581579968684146
1955-03-31,-8.754545454545465,-1.3,-29.606809232035268,20.852263777489803
1955-04-30,-10.327272727272742,-2.9,-29.5570384953864,19.22976576811366
1955-05-31,-13.36363636363636,-3.6,-29.507267758737534,16.143631395101174
1955-06-30,-14.949999999999989,-6.7,-29.457497022088667,14.507497022088678
1955-07-31,-15.22999999999999,-7.4,-29.4077262854398,14.17772628543981
1955-08-31,-12.318181818181813,-5.0,-29.357955548790933,17.03977373060912
