,msla,msla (orig),trend,msla (detrend)
1968-01-31,,,-20.129180207933892,
1968-02-29,,,-20.08265896294106,
1968-03-31,,,-20.036137717948222,
1968-04-30,,,-19.98961647295539,
1968-05-31,,,-19.94309522796256,
1968-06-30,,,-19.896573982969727,
1968-07-31,,,-19.85005273797689,
1968-08-31,,,-19.803531492984057,
1968-09-30,,,-19.757010247991225,
1968-10-31,-7.441666666666677,-5.2,-19.710489002998393,12.268822336331716
1968-11-30,-14.383333333333326,-11.8,-19.663967758005555,5.280634424672229
1968-12-31,-12.183333333333351,-7.2,-19.617446513012723,7.434113179679372
1969-01-31,-16.409090909090892,-10.8,-19.57092526801989,3.1618343589289992
1969-02-28,-15.449999999999989,-13.5,-19.52440402302706,4.074404023027071
1969-03-31,-15.983333333333348,-13.5,-19.47788277803423,3.49454944470088
1969-04-30,-14.883333333333354,-11.8,-19.43136153304139,4.548028199708035
1969-05-31,-16.641666666666666,-13.4,-19.384840288048558,2.7431736213818922
1969-06-30,-14.416666666666671,-11.9,-19.338319043055726,4.921652376389055
1969-07-31,-13.899999999999991,-11.6,-19.291797798062895,5.391797798062903
1969-08-31,-11.227272727272748,-9.6,-19.245276553070056,8.018003825797308
1969-09-30,-14.554545454545448,-13.0,-19.198755308077224,4.644209853531777
1969-10-31,-16.34166666666667,-14.1,-19.152234063084393,2.8105673964177242
1969-11-30,-16.183333333333323,-13.6,-19.10571281809156,2.9223794847582383
1969-12-31,-17.18333333333335,-12.2,-19.059191573098722,1.8758582397653711
1970-01-31,-16.009090909090887,-10.4,-19.01267032810589,3.0035794190150042
1970-02-28,-7.1499999999999915,-5.2,-18.96614908311306,11.816149083113068
1970-03-31,-13.083333333333343,-10.6,-18.919627838120228,5.836294504786885
1970-04-30,-12.183333333333351,-9.1,-18.873106593127396,6.689773259794045
1970-05-31,-11.641666666666666,-8.4,-18.826585348134557,7.184918681467892
1970-06-30,-10.316666666666663,-7.8,-18.780064103141726,8.463397436475063
1970-07-31,-7.299999999999997,-5.0,-18.733542858148894,11.433542858148897
1970-08-31,-6.127272727272739,-4.5,-18.687021613156062,12.559748885883323
1970-09-30,-6.75454545454545,-5.2,-18.640500368163224,11.885954913617773
1970-10-31,-4.941666666666677,-2.7,-18.593979123170392,13.652312456503715
1970-11-30,-6.083333333333329,-3.5,-18.54745787817756,12.464124544844232
1970-12-31,1.7166666666666401,6.7,-18.50093663318473,20.21760329985137
1971-01-31,-3.809090909090898,1.8,-18.45441538819189,14.645324479100992
1971-02-28,-10.249999999999986,-8.3,-18.40789414319906,8.157894143199073
1971-03-31,-9.083333333333343,-6.6,-18.361372898206227,9.278039564872884
1971-04-30,-3.4833333333333627,-0.4,-18.314851653213395,14.831518319880033
1971-05-31,-10.441666666666677,-7.2,-18.268330408220564,7.826663741553887
1971-06-30,-5.716666666666669,-3.2,-18.221809163227725,12.505142496561056
1971-07-31,-3.200000000000003,-0.9,-18.175287918234893,14.97528791823489
1971-08-31,-8.427272727272737,-6.8,-18.128766673242062,9.701493945969325
1971-09-30,-4.554545454545448,-3.0,-18.08224542824923,13.527699973703783
1971-10-31,-0.4416666666666771,1.8,-18.03572418325639,17.594057516589714
1971-11-30,-0.7833333333333314,1.8,-17.98920293826356,17.20586960493023
1971-12-31,-1.083333333333357,3.9,-17.94268169327073,16.85934835993737
1972-01-31,-5.909090909090892,-0.3,-17.896160448277897,11.987069539187004
1972-02-29,-7.1499999999999915,-5.2,-17.849639203285058,10.699639203285066
1972-03-31,-8.283333333333346,-5.8,-17.803117958292226,9.51978462495888
1972-04-30,-12.383333333333354,-9.3,-17.756596713299395,5.3732633799660405
1972-05-31,-15.541666666666671,-12.3,-17.710075468306563,2.1684088016398917
1972-06-30,-11.216666666666669,-8.7,-17.66355422331373,6.446887556647063
1972-07-31,-12.799999999999997,-10.5,-17.617032978320893,4.817032978320896
1972-08-31,-13.327272727272742,-11.7,-17.57051173332806,4.243239006055319
1972-09-30,-18.854545454545445,-17.3,-17.52399048833523,-1.3305549662102152
1972-10-31,-21.441666666666677,-19.2,-17.477469243342398,-3.964197423324279
1972-11-30,-30.78333333333333,-28.2,-17.43094799834956,-13.352385334983772
1972-12-31,-25.18333333333335,-20.2,-17.384426753356728,-7.798906579976624
1973-01-31,,,-17.337905508363896,
1973-02-28,,,-17.291384263371064,
1973-03-31,,,-17.244863018378233,
1973-04-30,,,-17.198341773385394,
1973-05-31,,,-17.151820528392562,
1973-06-30,,,-17.10529928339973,
1973-07-31,,,-17.0587780384069,
1973-08-31,,,-17.01225679341406,
1973-09-30,,,-16.96573554842123,
1973-10-31,,,-16.919214303428397,
1973-11-30,,,-16.872693058435566,
1973-12-31,,,-16.826171813442727,
1974-01-31,,,-16.779650568449895,
1974-02-28,,,-16.733129323457064,
1974-03-31,,,-16.686608078464232,
1974-04-30,,,-16.6400868334714,
1974-05-31,-11.941666666666677,-8.7,-16.593565588478562,4.651898921811885
1974-06-30,-12.61666666666666,-10.1,-16.54704434348573,3.93037767681907
1974-07-31,-6.5,-4.2,-16.5005230984929,10.000523098492899
